metric,value
row_count.base,500000
row_count.after_duplicates,512500
duplicates.count,12500
duplicates.rate_actual,0.0244
late_events.count,33341
late_events.rate_actual,0.0651
out_of_order.flag_count,26323
out_of_order.observed_count,66107
burst_events.count,153776
burst_events.rate_actual,0.3001
windows.count,2151
windows.max_records,3250
partition.0.pct,4.16
partition.1.pct,4.29
partition.2.pct,4.14
partition.3.pct,4.29
partition.4.pct,4.19
partition.5.pct,4.15
partition.6.pct,4.1
partition.7.pct,4.23
partition.8.pct,4.12
partition.9.pct,4.19
partition.10.pct,4.16
partition.11.pct,4.12
partition.12.pct,4.04
partition.13.pct,4.24
partition.14.pct,4.24
partition.15.pct,4.16
partition.16.pct,4.12
partition.17.pct,4.14
partition.18.pct,4.07
partition.19.pct,4.22
partition.20.pct,4.16
partition.21.pct,4.19
partition.22.pct,4.09
partition.23.pct,4.21
